probe_set	_23_1CON	_23_2CON	_23_3NO0	_23_4NO7	_26_1CON	_26_2CON	_26_3NO0	_26_4NO7	CONTROL7	CONTROLZ	NO_7_5	NO_ZERO
Probe_21790	7.760607	6.581654	7.48537	7.381638	7.354408	6.957729	7.615402	6.938027	7.645759	7.680423	6.858826	7.860988
Probe_21791	12.97424	12.70663	12.88257	12.65156	12.91486	12.44017	12.89976	12.75241	12.14467	12.63719	12.41627	12.5104
Probe_21792	8.020713	8.223799	8.182414	7.875153	8.163967	7.631315	8.208503	7.894884	8.034298	7.787041	8.039648	8.079853
Probe_21793	8.047113	7.23785	7.339877	7.604827	8.095935	6.778143	7.561685	7.140993	7.581984	7.993703	8.708432	7.904177
Probe_21794	6.503832	6.496042	6.925477	6.583366	4.399294	5.974224	6.540054	6.016877	6.59065	6.133405	5.09906	6.356362
Probe_21795	7.981265	7.781294	8.066014	7.616674	7.987565	7.663437	8.385819	7.893914	7.275854	7.56997	7.115408	7.444684
Probe_21796	10.42147	10.77503	10.42419	10.77038	11.13182	11.18986	11.12507	11.06036	10.92746	10.71163	10.62825	10.4149
Probe_21797	7.944607	7.284255	7.495863	7.164947	6.221664	6.771476	6.888147	6.717128	6.852423	7.12753	5.724285	7.296586
Probe_21798	4.922379	5.715526	5.572993	5.737297	4.42425	5.792051	6.252404	6.471978	4.975162	4.328994	4.539705	4.390578
Probe_21799	6.897531	7.34034	7.528134	7.13307	7.820064	7.696488	7.812774	7.286844	7.79831	7.62511	7.717224	7.842206
Probe_21800	6.87799	7.34545	7.029232	6.973003	5.820924	6.816331	6.158355	6.582268	6.30964	6.247409	5.63486	6.002696
Probe_21801	6.634216	6.904171	6.891832	6.384397	6.874182	7.44267	6.892682	7.843664	6.700689	6.526505	6.270032	6.331557
Probe_21802	7.627972	7.663195	7.718889	7.586314	7.707097	7.672835	7.422384	7.661657	7.691583	7.857303	6.953102	7.845572
Probe_21803	8.147286	8.623058	8.752146	8.532138	8.026712	7.762854	8.030143	8.302187	7.739619	8.356095	7.296402	7.9415
Probe_21804	7.790042	7.28906	8.164806	7.730327	7.783332	6.816369	7.983666	7.559691	6.829165	7.83754	6.036633	8.089233
Probe_21805	6.983985	7.080871	6.866834	6.312859	5.784022	6.171987	6.621274	6.812434	5.33087	6.440301	3.6291	5.551731
Probe_21806	7.716264	7.760354	7.755629	7.630289	7.571707	7.827222	7.75835	7.794955	8.041539	7.769765	8.064748	7.851468
Probe_21807	7.49239	7.479805	7.71133	7.331625	7.561998	7.653168	7.47885	7.473754	7.335721	7.89523	7.766005	7.429599
Probe_21808	6.928939	6.977841	6.489638	6.779811	5.775941	6.031367	6.534634	7.110217	7.368201	6.828606	7.694435	6.507476
Probe_21809	5.122615	5.236634	4.268607	5.270521	5.380864	4.724296	4.955503	5.554543	4.020484	5.4996	5.471854	5.16506
Probe_21810	5.036015	5.36607	4.915392	5.425372	3.953731	4.874807	3.461934	5.740812	5.4133	4.257607	3.683382	5.308638
Probe_21811	6.68636	7.49146	7.333298	7.013898	6.636996	7.20634	7.296668	7.282171	7.666622	7.943265	6.259711	7.506423
Probe_21812	7.396159	7.327229	7.942122	7.685232	7.798144	7.579165	7.758523	7.510424	7.773726	8.404316	8.039731	8.362952
Probe_21813	6.97014	6.593796	6.898474	6.597997	5.89024	6.80684	6.561062	7.019179	6.862017	6.464268	5.68318	6.617238
Probe_21814	6.774668	6.413088	6.615113	6.51822	6.648063	6.353597	6.347997	6.873653	6.656596	6.771688	7.238261	6.748582
Probe_21815	7.49243	7.568321	7.448199	7.528759	7.105322	7.706627	7.370496	7.497485	7.561105	6.996818	7.25241	7.40629
Probe_21816	6.673938	1.404821	5.786737	5.913057	8.001813	6.457678	6.802374	6.397444	3.975529	2.812048	8.043027	4.063727
Probe_21817	6.639485	7.282838	7.235296	6.604822	6.563236	7.068262	7.462968	6.805331	6.720101	6.233432	5.124911	6.535118
Probe_21818	10.34257	8.425044	10.22964	9.514075	10.92528	8.662455	10.8428	9.905276	7.359969	9.522876	7.582134	9.597842
Probe_21819	6.902146	6.140216	7.196578	5.953293	8.813733	6.499718	8.356826	6.712128	6.149117	7.447505	5.416897	6.908345
Probe_21820	5.787963	6.425696	6.431591	6.11778	5.626973	5.60781	6.126618	5.835823	6.507282	7.318525	5.284148	7.105626
Probe_21821	7.420423	7.110123	7.078364	7.069122	6.806904	7.140993	6.806595	6.952543	6.641618	6.689928	6.542953	6.449026
Probe_21822	7.451013	7.427966	7.92074	7.421131	7.387044	7.441508	7.571586	7.362908	6.373572	7.63619	4.996881	7.461332
Probe_21823	10.67005	11.12827	11.13325	11.19188	11.66593	11.5448	11.67746	11.45788	11.29929	11.49584	11.38921	11.36709
Probe_21824	8.10113	8.244259	8.300792	7.99592	8.888293	8.396331	8.998111	8.564028	7.959312	7.818499	8.098143	7.897543
Probe_21825	7.416696	7.253205	7.386966	7.2928	6.927612	7.978608	7.556161	7.809183	7.246836	7.092303	5.487136	6.616712
Probe_21826	6.963451	6.924623	7.046044	7.445983	3.118984	6.51741	5.671814	6.610327	7.809086	6.873518	7.020058	7.459907
Probe_21827	7.642066	7.379222	7.434128	7.579912	7.898698	7.723422	7.618356	7.990195	7.760361	8.020219	7.178486	7.636436
Probe_21828	6.482982	6.620168	6.377327	6.100053	4.406258	6.628696	6.524028	6.05955	6.531007	6.454456	6.690026	6.288493
Probe_21829	8.957993	8.426839	8.553871	8.533855	8.517673	8.76069	8.564851	8.661222	8.026435	7.310894	7.628621	7.792146
Probe_21830	5.298662	5.828888	5.535002	5.691227	5.527424	5.696681	6.533716	5.390159	5.567606	5.606374	1.943141	5.757429
Probe_21831	9.08971	9.940208	9.543749	9.22615	9.3736	9.52871	9.391886	9.443605	8.862222	9.187087	7.503094	8.581487
Probe_21832	9.405029	9.562347	9.856156	10.07466	9.881808	10.0938	9.929958	10.12497	10.30733	10.32519	10.42461	10.46834
Probe_21833	5.988353	5.592965	5.402122	5.704725	5.218146	5.73215	5.713377	6.415823	6.0314	5.131952	4.531144	5.531491
Probe_21834	8.920073	8.863046	9.149115	9.246026	8.990246	9.256763	9.132533	9.230546	9.240195	9.290318	8.856494	9.210649
Probe_21835	8.427619	9.355393	8.685288	8.514174	9.07099	9.151197	9.212426	8.962347	8.349609	8.239169	7.008832	8.147587
Probe_21836	6.803305	6.739416	6.796442	6.81523	7.011306	7.328082	7.395688	7.228886	6.666842	6.433397	6.603129	6.246765
Probe_21837	8.909014	7.369292	9.156778	8.370042	9.743742	8.283889	9.884425	9.119706	7.355096	8.777144	6.419623	8.560444
Probe_21838	8.337497	9.14869	8.680574	8.8376	8.669796	8.873432	8.622206	8.57132	8.869717	8.824211	9.151275	8.914935
Probe_21839	8.256388	8.701591	7.763936	7.479522	7.861403	8.186555	8.083889	8.554052	7.893241	7.83375	6.768171	7.502689
Probe_21840	8.039753	7.33346	8.424267	7.682173	8.331244	7.381102	8.403954	7.962063	7.346496	8.47864	7.403566	8.478175
Probe_21841	6.488002	6.497295	6.740563	6.920782	6.607839	6.501641	6.500686	6.663103	6.722398	7.2122	6.30807	7.168612
Probe_21842	7.25963	7.431197	7.449842	7.562334	7.668247	7.355448	7.134539	7.261183	7.329249	7.08776	8.394313	7.19579
Probe_21843	11.33341	11.03806	10.98841	10.82218	12.51637	11.98153	12.4488	11.58929	9.419461	9.036168	9.512452	9.648196
Probe_21844	6.201271	6.736334	6.622187	6.063445	6.544787	6.28307	6.232603	5.97888	6.284612	6.373779	6.132939	6.121411
Probe_21845	7.386966	7.783247	7.869896	7.620667	7.712169	7.637639	7.882668	7.735813	8.116302	7.813788	7.96171	8.17509
Probe_21846	7.089996	7.169955	7.185173	7.323667	7.629393	7.184558	6.930974	6.954859	7.421543	7.089837	8.397722	7.424947
Probe_21847	8.95999	8.035217	8.590726	8.510396	7.830439	8.347502	8.629575	7.429248	7.809935	7.864935	8.938797	8.362772
Probe_21848	6.018937	6.542654	6.013071	6.157448	6.206276	6.592225	6.17571	6.652773	6.076484	6.101732	6.089657	6.207664
Probe_21849	6.952497	7.140779	6.930288	6.970371	6.588918	7.379274	7.254783	7.444667	7.402526	7.016552	6.745681	6.91816
Probe_21850	5.68325	6.491843	5.908578	6.395484	5.301869	6.041212	5.93921	6.569664	6.331918	6.225387	4.730211	6.23077
Probe_21851	7.883987	8.132387	8.345507	8.761092	9.011795	9.056096	8.542703	8.882509	8.839941	8.725939	8.26509	8.820661
Probe_21852	11.26272	11.55788	11.43286	11.5793	11.55725	11.66604	11.61064	11.59844	11.66879	11.56742	11.71017	11.59703
Probe_21853	8.38893	9.209539	8.995773	9.126214	8.743404	9.187627	8.674874	9.197305	9.072017	8.981016	8.414047	8.796254
Probe_21854	7.889254	6.229207	8.386807	6.767774	8.705442	6.741898	8.968085	7.456174	5.642364	7.685281	5.290977	7.490426
Probe_21855	5.046565	6.676211	6.380241	6.587878	6.262929	6.470148	5.184982	5.301672	5.479088	6.034064	5.951595	5.121177
Probe_21856	7.394659	5.643256	6.2369	7.15967	8.210384	7.131487	7.194156	7.063169	7.341087	7.497453	9.171309	8.692378
Probe_21857	6.774115	6.850324	6.714754	6.802659	5.718082	6.924504	6.697718	7.256162	6.951331	6.081742	5.419792	6.397019
Probe_21858	9.83364	10.60419	10.35757	10.42077	10.08462	10.31612	9.973496	10.03133	10.1792	10.17068	9.906904	10.20387
Probe_21859	7.230635	6.964098	6.964364	6.346799	6.967203	6.901048	7.444493	7.522966	7.037701	6.900722	5.901844	6.950177
Probe_21860	8.547126	9.274569	9.377629	9.096805	9.448732	9.197045	9.950992	8.61215	7.850649	7.218897	8.011266	8.297636
Probe_21861	5.935974	6.862922	6.366777	6.172442	6.156154	6.438185	5.997828	6.066744	6.59132	6.757183	4.922812	6.613898
Probe_21862	9.267318	9.440223	9.908741	9.64272	9.270485	9.417836	9.583701	8.833478	9.32863	8.906521	9.243621	9.740293
Probe_21863	6.629769	4.492007	6.767032	4.317854	7.883664	5.332135	7.483751	6.429686	5.460235	6.66088	4.183217	5.3037
Probe_21864	8.961551	7.274933	8.350594	8.077248	8.357429	7.756116	8.310899	8.223857	7.523719	8.406128	7.947263	8.224383
Probe_21865	6.269306	6.713077	6.693473	6.583006	5.919445	6.13543	6.162607	6.522652	6.746313	6.773654	6.448513	6.581958
Probe_21866	9.136537	8.945233	9.020527	9.237035	8.757737	8.497153	8.441342	8.622052	9.345139	8.948832	9.150814	9.209029
Probe_21867	7.063837	7.500603	7.252628	8.014406	7.827089	8.04081	7.409476	7.303671	7.223953	7.086603	7.297173	7.152275
Probe_21868	3.606028	-0.86004	5.556417	5.281368	4.324361	4.324361	4.324361	4.692874	5.708011	4.324361	7.092514	3.517717
Probe_21869	6.932463	6.958738	6.874059	7.049544	6.335262	6.876824	6.811895	7.387604	7.392833	7.141402	5.882907	7.060653
Probe_21870	9.491154	8.347041	9.791265	8.832893	9.847847	8.666916	9.899981	9.32582	8.468331	10.14938	8.031952	9.730749
Probe_21871	8.317196	8.110708	8.124468	7.645449	8.10958	8.265113	8.314629	7.823291	7.92885	7.828181	7.612935	8.141561
Probe_21872	10.13145	10.03875	10.05435	10.22806	8.569134	9.710133	9.068832	8.793496	10.60039	10.35384	10.18269	10.5497
Probe_21873	7.028514	6.880134	6.785381	6.626016	6.623687	6.411206	6.27858	6.657511	6.365292	6.617088	5.30222	6.370734
Probe_21874	8.920969	9.381112	9.445725	8.804944	9.874726	9.719473	9.79773	9.445679	9.126836	9.23931	7.923078	9.070266
Probe_21875	5.854552	5.701161	5.590174	5.33664	3.297199	3.130038	5.307869	6.131816	6.167639	5.539122	4.625165	5.701726
Probe_21876	6.679424	6.646379	6.51293	6.369913	6.377806	6.749414	6.781386	6.186687	6.235788	5.736361	6.292817	6.075794
Probe_21877	6.45952	6.378548	6.579863	6.564293	5.67476	6.778734	6.552837	6.969841	6.44748	6.508535	6.613041	6.508387
Probe_21878	6.790642	6.754099	6.486774	6.602467	5.910984	6.468227	6.714507	6.254832	6.547865	5.88355	6.107158	6.23245
Probe_21879	6.914983	7.225709	7.108294	7.459366	7.683802	8.47274	8.210866	8.330124	8.549188	8.218248	7.315621	8.18759
Probe_21880	7.50466	7.684952	7.628329	7.481501	7.460464	7.750513	7.575887	7.828371	7.322703	6.652314	6.81314	6.836454
Probe_21881	9.137404	8.896317	8.79295	8.258656	7.465738	7.646098	8.235469	7.929578	8.096589	4.206698	8.471261	7.463369
Probe_21882	9.087418	8.860376	9.477868	9.667071	9.523652	8.96017	9.441041	8.487514	8.577346	9.078359	9.354681	9.771742
Probe_21883	8.253611	9.09305	8.763395	8.624324	7.531771	8.298938	8.114731	8.471122	8.582421	8.859805	7.851974	8.728274
Probe_21884	8.856416	9.233339	9.133255	9.028138	8.472203	8.569719	8.686126	8.808321	8.663096	9.300208	8.257525	9.004558
Probe_21885	7.1044	6.903858	7.433485	7.00641	6.964595	6.365194	7.202281	6.894551	6.62456	6.659568	5.601349	6.703391
Probe_21886	5.19724	5.228007	5.988642	3.737881	4.393059	5.719545	3.945851	4.553404	2.970751	4.851069	4.065357	5.14893
Probe_21887	7.521074	7.377566	7.88271	7.731115	7.961068	7.901102	8.266515	8.352957	7.546424	8.471801	6.679339	8.05928
Probe_21888	7.047942	6.927174	7.344047	7.278923	7.766807	7.651863	7.405933	8.134416	6.848222	7.154747	6.347988	6.922293
Probe_21889	8.075704	7.135545	8.441637	7.39699	8.330025	7.783673	8.48972	6.540943	8.059361	8.954269	7.086741	8.800428
Probe_21890	6.688124	6.420654	6.465013	6.21388	6.452673	6.676535	5.901113	6.269087	6.562064	6.379389	6.087034	6.265848
Probe_21891	8.05442	7.788784	7.620484	7.343115	7.437336	7.12173	7.524933	7.526311	7.370722	6.992825	7.455829	7.111616
Probe_21892	7.052438	7.066143	7.171527	7.04225	7.099874	6.995168	7.099474	7.379829	7.314842	6.979637	5.427677	6.789964
Probe_21893	6.613725	6.038774	5.903578	6.256094	6.194958	6.542803	5.473459	5.96266	6.71485	6.872349	5.44424	6.951926
Probe_21894	5.717578	5.812891	5.554061	5.938839	3.93676	4.474183	5.668899	6.051694	5.958588	5.775749	5.422024	6.07985
Probe_21895	7.934009	7.754714	7.742902	7.656761	8.054593	8.160043	8.383566	7.951092	7.598536	7.424309	6.919924	7.678882
Probe_21896	7.300627	7.255926	8.27805	7.747528	7.646983	7.285994	7.188233	7.041363	6.197	6.939979	5.868734	7.14037
