probe_set	_23_1CON	_23_2CON	_23_3NO0	_23_4NO7	_26_1CON	_26_2CON	_26_3NO0	_26_4NO7	CONTROL7	CONTROLZ	NO_7_5	NO_ZERO
Probe_1	9.776245	9.127334	8.304516	8.701171	10.57415	10.21575	10.45926	10.20152	7.884238	7.705964	7.502219	7.752729
Probe_2	10.00659	9.235627	8.185797	8.839409	11.05158	10.53989	10.77512	10.66046	7.992927	7.945578	6.811715	7.911506
Probe_3	9.254032	8.652096	7.869193	8.211509	10.40826	9.853157	10.04457	9.869173	7.62784	7.626176	6.751785	7.609578
Probe_4	10.72768	10.08474	9.374598	9.709146	11.43433	10.99901	11.29275	11.05114	8.790577	8.725741	8.321991	8.81531
Probe_5	10.81801	10.11681	9.431211	9.834365	11.42544	10.95131	11.32334	11.05498	8.990101	8.851421	8.256926	8.989028
Probe_6	10.8731	10.38837	9.898796	10.10966	11.59143	11.1426	11.51837	11.28736	9.276755	9.33258	9.017493	9.458181
Probe_7	12.37035	11.70965	11.17201	11.39946	12.72085	12.30798	12.67016	12.46203	10.81227	10.82351	11.01164	11.02658
Probe_8	13.39941	13.06709	12.8041	12.77213	13.55693	13.30328	13.52201	13.43909	12.27016	12.30439	12.31521	12.49729
Probe_9	13.4577	13.19339	13.15942	13.04829	13.47033	13.2791	13.52908	13.63407	12.75568	12.7248	12.84167	12.82143
Probe_10	6.694922	6.593007	6.241579	6.196847	7.166535	6.391055	7.128448	6.340995	6.222014	6.172295	6.063406	6.087278
Probe_11	6.261294	6.432672	6.304513	6.341424	5.80553	6.729186	6.917635	6.959527	6.194999	5.993305	6.156686	6.052644
Probe_12	7.015995	7.056876	7.070175	7.363101	6.964064	7.079943	6.979225	6.866994	7.463271	7.27178	6.070935	6.879816
Probe_13	4.191468	3.830134	2.729718	3.219793	4.356094	3.607318	3.514185	3.629531	2.3812	4.081075	4.613915	3.989066
Probe_14	5.943912	5.590374	5.659959	5.668675	6.125872	5.642121	5.763669	5.683682	6.149137	5.856702	5.958107	5.749746
Probe_15	6.776854	6.128821	6.317045	6.649184	7.115345	6.093433	6.600164	6.732853	6.463855	5.660341	5.947444	5.68069
Probe_16	5.994797	6.004326	5.989577	5.938674	6.405225	6.186168	5.725877	6.503447	5.748174	5.378695	6.925928	5.369152
Probe_17	9.020797	8.404741	8.836192	8.978127	9.542144	9.34207	9.575751	8.778751	8.565654	8.681888	9.353564	8.904499
Probe_18	6.178376	6.223799	6.292425	6.001016	3.452147	5.61946	6.35503	5.597388	5.565871	4.72381	2.259637	4.700573
Probe_19	6.695618	6.379741	6.895036	7.188945	6.833143	6.69286	7.536939	7.303689	6.803963	6.152384	6.253965	6.042386
Probe_20	5.134726	5.415039	5.225973	5.00313	5.3286	4.858777	5.848706	4.428343	4.814407	4.921055	5.054914	4.664005
Probe_21	7.9068	7.607611	7.33573	7.579565	8.948408	8.444149	7.950107	7.61843	7.770386	7.778925	9.219507	7.564592
Probe_22	7.089254	6.767814	6.62474	6.629454	5.975694	6.841684	6.110522	6.958553	6.885721	6.842325	5.960442	6.781858
Probe_23	5.338182	5.393464	5.188579	5.274277	4.381124	5.298831	5.053876	5.862942	5.394682	5.146338	4.03631	5.377113
Probe_24	9.106437	9.712482	9.678299	9.878036	8.466696	9.031911	9.271398	9.412669	9.041454	8.64844	8.518429	8.929797
Probe_25	7.568815	8.678998	8.367838	8.066057	7.297641	8.658258	7.826193	7.363942	8.690543	7.005434	8.185713	8.675929
Probe_26	9.400339	9.579983	9.625159	9.467485	9.193338	9.644101	9.241344	8.815422	9.643573	8.738839	9.957704	9.676923
Probe_27	9.005319	9.59523	9.413655	9.033489	8.669339	9.630709	9.122499	9.527383	9.4558	8.721926	8.713393	9.247154
Probe_28	10.85201	10.97491	10.80252	10.64422	11.20589	11.12812	11.3803	11.12263	10.69041	10.38663	10.45647	10.64005
Probe_29	6.75315	7.398855	8.612327	10.30118	8.446728	7.441575	8.594899	7.396091	7.150895	6.976891	7.980282	7.506946
Probe_30	7.129305	5.160936	9.619263	12.40599	8.625424	6.820907	11.13042	5.741861	4.731015	4.406591	4.999094	4.780866
Probe_31	7.843079	7.930844	8.497568	9.11844	9.011845	8.266768	8.650323	8.164158	8.982877	8.469959	9.547033	8.879059
Probe_32	13.56107	13.5173	13.63763	13.54873	13.42247	13.47968	13.46838	13.18137	13.52009	13.36129	13.54815	13.45229
Probe_33	13.36193	13.36722	13.47696	13.49289	13.20343	13.36419	13.34547	13.29694	13.3708	13.15086	13.33651	13.15772
Probe_34	13.4734	13.40255	13.54078	13.52304	13.3744	13.44526	13.52976	13.58781	13.42985	13.33226	13.39135	13.32973
Probe_35	13.4302	13.38391	13.5276	13.46259	13.0512	13.27425	13.29436	12.90154	13.41739	13.17581	13.38796	13.29813
Probe_36	13.61289	13.51894	13.62211	13.58926	13.34869	13.45049	13.50251	13.28083	13.52036	13.31375	13.50595	13.37934
Probe_37	13.51039	13.40607	13.48725	13.40772	13.4028	13.37071	13.48705	13.52757	13.31836	13.15442	13.29287	13.21637
Probe_38	5.535014	6.65744	7.223471	7.828073	9.496275	8.827174	9.815284	8.642933	8.055434	6.611556	7.503452	7.50175
Probe_39	8.734489	9.15543	9.401925	10.05122	10.96662	10.83523	11.25117	10.30934	9.531054	9.054748	9.974587	9.142245
Probe_40	9.297506	9.301069	9.243176	9.32108	9.809041	9.574285	9.5938	9.344225	9.810833	9.571559	10.45412	9.86015
Probe_41	13.59291	13.36984	13.66382	13.33422	13.5482	13.42526	13.71938	13.53718	12.87195	13.10554	13.05423	13.10446
Probe_42	9.813775	9.385742	8.354077	8.691517	10.95473	10.49485	10.80721	10.4358	7.957648	7.867205	7.242831	7.835848
Probe_43	9.432041	8.956823	7.852873	8.486895	10.43465	10.052	10.32056	10.21732	7.724916	7.675604	6.680788	7.82705
Probe_44	9.534649	8.749672	8.018334	8.401801	10.24574	9.745426	10.06618	9.938665	7.627096	7.356364	7.628249	7.581931
Probe_45	10.63676	9.99274	9.166334	9.657388	11.41244	10.99804	11.28311	11.06223	8.454604	8.302228	7.887927	8.36357
Probe_46	10.73737	10.26083	9.573337	9.926022	11.70327	11.16972	11.4181	11.1708	9.165249	9.175807	8.822131	9.267922
Probe_47	12.4479	11.75825	11.34032	11.35624	12.63514	12.31661	12.7058	12.4907	10.94162	10.83858	11.03479	11.15329
Probe_48	12.01498	11.46769	11.06188	11.13239	12.51892	12.02848	12.44791	12.23144	10.75816	10.66032	10.67211	10.87964
Probe_49	13.5844	13.37873	13.23368	13.09267	13.69653	13.54337	13.72638	13.72371	12.56826	12.73255	12.76375	12.8648
Probe_50	13.78829	13.6015	13.44544	13.31566	13.89218	13.64121	13.89699	13.87654	12.87152	12.88837	12.9219	13.11212
Probe_51	5.895567	6.136772	6.31086	6.061117	5.836265	6.352464	5.410969	6.523937	6.121637	6.385619	5.07436	5.568509
Probe_52	3.477872	2.880588	3.781213	4.306138	2.178711	3.837519	3.151357	1.759203	2.836308	2.573205	1.193532	3.061679
Probe_53	4.505243	4.981378	4.805019	4.987303	5.765609	5.219296	5.097358	3.962827	4.602843	4.436435	6.049003	3.868637
Probe_54	3.59777	3.555374	3.618109	4.353549	3.282508	3.458067	4.180729	4.598407	3.677215	4.341836	3.731748	4.409873
Probe_55	2.148651	4.34853	3.577743	3.932023	3.602184	4.354149	4.547592	3.501898	3.913445	2.811368	3.637617	3.276208
Probe_56	5.943549	6.754193	5.96401	6.295194	6.609491	6.848435	6.277442	6.046255	6.318801	6.470581	6.226665	6.67169
Probe_57	2.225013	2.78513	3.158961	2.460999	2.428258	3.713256	2.78513	2.439897	4.082839	3.247956	2.39091	1.703216
Probe_58	2.068206	4.355742	4.188535	3.941388	4.229274	3.752898	4.054875	3.422018	4.733192	4.597186	6.631331	4.776641
Probe_59	6.417123	6.835671	6.814679	6.664426	6.505723	6.879669	6.806401	7.104955	6.838826	6.681983	6.128652	6.78896
Probe_60	5.401968	5.118538	5.076504	4.962554	4.372785	5.496552	4.588103	5.21732	5.937749	4.509588	5.004874	5.071055
Probe_61	5.542085	5.966357	5.578142	5.3055	4.993615	2.82999	5.833596	5.446369	5.773229	6.000946	5.715531	5.951303
Probe_62	6.481467	6.494995	6.51354	6.861695	7.049086	6.842187	6.484944	7.495839	7.347267	6.993074	7.409646	6.562191
Probe_63	5.560687	8.452637	8.617093	8.897068	8.915682	8.251549	9.508131	8.108608	8.181893	7.587853	8.208971	8.78641
Probe_64	4.762976	5.680451	8.592962	12.13013	7.250431	5.812629	9.563137	5.95002	5.442058	5.817544	4.665	5.379673
Probe_65	4.659382	5.76638	7.72858	9.64218	7.524024	4.463531	7.450766	5.398474	4.739789	5.490249	4.803501	5.677641
Probe_66	5.07549	6.837313	7.711715	8.412367	8.857754	8.907323	9.66755	8.710169	7.805112	6.170089	7.159286	7.262302
Probe_67	5.755611	7.135935	6.54228	6.678593	8.701348	8.370095	8.533392	7.315439	6.783902	6.555864	6.077822	6.724869
Probe_68	1.150924	2.892717	4.841737	5.04991	6.791788	5.164513	7.609592	2.026867	1.097395	2.415964	-1.26817	2.193327
Probe_69	10.83109	10.88643	10.92011	10.48423	10.12402	10.43236	10.23831	9.909932	10.88447	10.90696	10.76183	10.89583
Probe_70	11.94215	11.95331	11.74864	11.95089	11.41545	11.63708	11.37251	11.1253	12.09989	11.9514	12.15206	11.8937
Probe_71	12.21405	12.44752	12.61158	12.73151	12.60469	12.75867	12.57547	12.492	12.74944	12.54985	12.81526	12.40487
Probe_72	12.90354	13.0604	13.25422	13.28999	13.18697	13.21322	13.1106	12.83103	13.34625	13.2594	13.3532	13.33486
Probe_73	12.84414	12.77818	12.82339	12.45278	12.5815	12.53253	12.693	12.61996	12.36395	12.40016	12.28987	12.28052
Probe_74	11.48213	11.39583	11.59249	11.55795	11.49658	11.34827	11.56552	11.58571	11.40156	11.76961	11.62647	11.48978
Probe_75	11.65076	12.07164	12.0518	12.2736	12.18904	12.28972	12.11201	12.2149	12.42459	12.36306	12.42452	12.01359
Probe_76	12.35755	12.2675	12.3204	12.36112	12.68962	12.54756	12.69925	12.56485	12.27254	12.14898	12.37721	12.22196
Probe_77	10.9224	11.24278	11.15513	11.0906	10.90715	11.0838	11.02359	10.74711	10.88644	10.59793	10.82615	11.20735
Probe_78	11.91598	11.92277	12.10031	11.7919	11.88874	11.71956	11.93275	11.83004	11.77493	12.02841	11.79844	11.94766
Probe_79	12.28626	12.47267	12.6785	12.72059	12.5596	12.63351	12.54155	12.48705	12.66357	12.64857	12.59417	12.47677
Probe_80	10.04695	10.44189	10.22597	10.17975	9.590806	10.06897	9.856106	9.820361	10.16733	10.19537	9.865034	9.899354
Probe_81	12.75739	12.75554	12.9445	12.85247	12.74169	12.78665	12.90888	12.82332	12.79116	12.58889	12.76264	12.65363
Probe_82	12.33767	12.3537	12.70043	12.9272	12.77421	12.7426	12.75418	12.71086	12.7633	12.66117	12.76563	12.67277
Probe_83	11.38093	11.72108	11.61005	11.58055	11.54939	11.64816	11.69514	11.44546	11.5299	11.65658	11.46575	11.39453
Probe_84	12.21267	12.37814	12.24788	12.06273	11.92842	12.07893	12.07831	11.94539	11.88995	11.80825	11.78731	11.83406
Probe_85	12.93233	12.84198	12.88559	12.80304	12.97315	12.87772	12.97434	12.89287	12.60252	12.67761	12.68089	12.53748
Probe_86	12.7089	12.54328	12.7803	12.86792	12.98485	12.87102	13.06045	12.98443	12.67794	12.66171	12.66694	12.62
Probe_87	12.77805	12.77199	12.99234	13.05715	13.10079	13.05802	13.19534	13.09303	12.93642	12.91524	12.8389	12.88473
Probe_88	11.32532	11.78534	11.99222	12.44018	12.13358	12.29443	12.15061	11.97722	12.53694	12.41527	12.57306	12.45729
Probe_89	10.56399	10.10828	10.84276	10.3846	10.91082	10.12004	11.03795	10.69162	9.946514	10.87551	9.897257	10.4847
Probe_90	13.31131	13.16114	13.2372	13.13644	13.1496	13.05415	13.17613	13.12598	13.03081	12.84546	13.05168	12.97856
Probe_91	12.1686	12.25226	12.48897	12.75471	12.37267	12.57653	12.34624	11.84607	12.677	12.6601	12.69019	12.76781
Probe_92	12.10919	12.1217	12.1528	12.45085	12.12739	12.20913	12.0945	12.29713	12.26417	12.07157	12.35922	12.19594
Probe_93	12.13482	12.56346	12.70417	12.67812	12.20837	12.54619	12.36902	12.12279	12.64537	12.52302	12.80882	12.63455
Probe_94	12.95767	12.90081	13.07803	13.05374	13.23046	13.08535	13.28219	13.20059	12.97753	12.83058	12.9103	12.84789
Probe_95	12.77974	12.73822	12.85077	12.89033	12.77194	12.68755	12.75539	12.66008	12.79471	12.69063	12.85014	12.70812
Probe_96	11.45246	11.78832	11.5858	11.38409	11.94193	11.86295	11.99672	11.73681	11.15307	10.98806	11.00342	11.09464
Probe_97	11.49857	11.18727	11.58065	10.91185	11.71006	10.86736	11.80639	11.01525	10.61118	11.25591	10.84857	11.05801
Probe_98	13.04254	12.7807	13.03933	13.15129	12.98745	12.95391	13.08788	13.1699	13.19321	13.10912	13.13945	13.08037
Probe_99	12.36951	12.23537	12.5721	12.56408	12.23444	12.29582	12.34923	12.48753	12.56615	12.66293	12.67849	12.71159
Probe_100	12.57597	12.83459	13.10596	13.24489	12.12293	12.47796	12.19872	12.50402	13.28998	13.12022	13.3367	13.21309
Probe_101	13.12901	13.06794	13.2061	13.14706	13.22467	13.13706	13.25243	13.27204	13.10744	13.11225	13.14816	13.10713
Probe_102	11.86952	11.82945	11.93665	11.77847	12.1482	11.70193	12.17913	11.91157	11.54174	11.57629	11.48667	11.78569
Probe_103	12.63	12.59593	12.70398	12.8018	12.84006	12.7654	12.82141	12.70522	12.60733	12.57468	12.5706	12.55469
Probe_104	10.82983	10.40103	10.57841	10.41546	10.70732	10.03005	10.39552	10.11847	9.877634	10.19407	9.760821	9.938362
Probe_105	11.96167	12.31544	12.36964	12.46558	12.23956	12.42206	12.22679	11.9691	12.46326	12.47014	12.52465	12.42964
Probe_106	11.11357	11.26669	11.45819	11.08881	11.50155	11.08835	11.59363	11.41229	10.96698	11.19889	10.88599	11.23241
Probe_107	13.01745	13.03442	13.16473	13.19122	13.19167	13.15101	13.21822	13.14651	13.05681	12.98773	13.07059	13.01344
Probe_108	10.2655	10.06423	10.61523	11.02519	10.64594	10.78059	10.77112	10.81203	11.03555	11.09897	11.32278	11.05266
Probe_109	11.31367	11.39288	11.35355	11.15258	11.34295	11.108	11.42127	11.26356	11.2813	11.36233	11.15307	11.25591
Probe_110	11.3573	11.22963	11.34675	11.4922	11.25865	11.45452	11.3226	10.93922	11.43422	11.80172	11.38509	11.1307
Probe_111	10.35094	10.34575	10.54589	10.68952	10.65641	10.64234	10.78978	10.88254	10.34509	10.76511	10.4454	10.41535
Probe_112	11.5207	11.67234	11.60727	11.73006	12.03827	11.93239	12.24128	12.05264	11.47996	11.6185	11.36597	11.51977
Probe_113	10.95314	10.99437	11.06674	11.24946	11.3661	11.16648	11.40709	11.22351	11.24883	11.33559	11.27394	11.3444
Probe_114	9.905518	9.519658	9.969372	9.796458	9.573361	9.259595	9.64334	9.601502	9.688458	10.10849	10.2723	10.09557
Probe_115	10.36286	11.12751	11.14807	11.55575	10.82212	11.38004	10.87732	11.09171	11.68492	11.11067	11.65437	10.9879
Probe_116	10.46124	10.37319	10.83729	10.443	11.19654	10.44039	11.19173	10.71808	9.916495	10.45633	9.845184	10.56682
Probe_117	11.04473	11.0242	11.22822	11.45147	11.62231	11.50283	11.57205	11.64214	11.22961	11.19209	11.38236	11.30056
Probe_118	8.962882	8.374283	9.048026	8.875126	9.115938	8.811532	9.251544	8.982178	7.991902	8.380058	8.442446	8.472167
Probe_119	10.20727	7.378035	10.20505	9.36466	10.99029	8.50528	10.91382	10.04321	6.358319	10.06232	7.97002	9.74831
Probe_120	8.072749	8.735627	8.503134	8.552796	8.018261	8.560104	8.342381	8.382615	8.980928	9.224356	8.396635	8.893177
Probe_121	10.21814	10.46792	10.61019	10.64981	10.27278	10.42051	10.17473	9.977824	10.38172	10.8174	10.14719	10.2666
Probe_122	9.968768	10.00555	10.33065	10.34335	10.40447	10.31601	10.41203	10.2361	10.19643	10.56567	10.39442	10.62934
Probe_123	8.967396	9.345993	9.3968	9.36383	9.093866	9.277699	9.136186	9.449171	9.878693	9.98429	9.895106	10.00874
Probe_124	10.46941	10.5093	10.62642	10.83584	10.62536	11.05804	10.66067	11.11326	11.45668	11.13963	11.33639	11.15072
Probe_125	9.450052	10.15843	9.590838	9.716876	10.03344	10.10987	10.04685	9.8009	9.252072	9.633591	8.314026	9.431103
Probe_126	12.06829	12.05128	12.13745	11.96077	11.85477	11.79444	11.95553	11.82043	11.8815	12.04901	11.9551	11.79551
Probe_127	10.56186	10.77952	10.83599	10.47432	10.77194	10.67651	10.86526	10.50048	10.42269	10.28627	10.27131	10.51646
Probe_128	12.6297	12.47518	12.52605	12.58129	12.37617	12.46443	12.35826	12.26234	12.57782	12.45879	12.51528	12.55932
Probe_129	11.16591	10.5292	11.19003	10.65714	11.29572	10.43317	11.31169	10.88085	10.23999	11.07666	10.66428	11.17445
Probe_130	12.89665	12.76992	13.01324	13.11428	13.07339	13.01781	13.05352	13.13856	13.05555	12.93125	12.99327	12.89511
Probe_131	13.11297	13.04596	13.16732	13.1873	13.21229	13.1342	13.17617	13.16145	13.06972	13.05855	13.15589	13.04526
Probe_132	12.88165	12.73554	12.85102	12.74433	13.00916	12.78289	13.04815	12.91294	12.57185	12.74364	12.66509	12.80027
Probe_133	12.70619	12.44117	12.63331	12.49687	12.12219	12.1678	12.31626	11.96042	12.34615	12.66573	12.55834	12.21231
Probe_134	12.25832	12.06362	12.15374	12.01017	12.13445	12.01312	12.30405	12.01691	12.04046	12.09394	12.10111	12.21289
Probe_135	9.322361	9.428814	9.576696	9.479645	9.689713	9.64404	9.747065	9.736813	9.191632	9.779892	9.005801	9.298885
Probe_136	11.06244	11.51341	11.17149	11.24925	11.40926	11.39485	11.26035	11.18458	11.39416	11.10818	11.47024	11.35375
Probe_137	12.82683	12.65424	12.66978	12.32271	12.46358	12.44421	12.45306	12.3469	11.66953	12.01855	12.06488	11.96827
Probe_138	8.323149	6.516647	8.45397	6.663288	8.89747	6.727757	8.996183	8.037234	6.786283	8.699524	6.635537	8.711584
Probe_139	8.821898	9.319555	9.496682	9.202761	9.215972	9.20738	9.337071	8.980285	9.497277	9.327995	8.762196	9.251037
Probe_140	9.696928	9.219352	9.767446	9.062578	9.691887	8.743724	9.688033	9.420476	8.406617	9.247555	7.941453	9.337513
Probe_141	10.4593	10.62925	10.81828	10.40143	10.56993	10.6523	10.73854	10.35672	10.5838	11.21579	10.74841	11.01981
Probe_142	11.0517	11.25322	11.34922	10.96785	11.2631	11.17944	11.47589	11.11995	10.93486	11.39316	11.04471	11.34981
Probe_143	11.77401	11.64831	11.85856	12.12571	11.90237	11.99066	11.7621	11.93893	12.32688	12.03291	12.24024	11.87738
Probe_144	9.131458	9.667631	9.498875	10.11554	9.445425	10.10142	9.648331	9.56973	10.79138	10.42786	10.69218	10.55494
Probe_145	10.45773	10.48655	10.62464	10.65715	10.60065	10.6844	10.73207	10.51175	10.87619	10.80607	10.86111	10.77006
Probe_146	12.87109	12.86993	13.01176	12.86241	12.70941	12.73806	12.85838	12.71641	12.88634	12.86365	12.93233	12.90478
Probe_147	9.894512	10.33198	10.15582	10.48016	9.994325	10.43085	10.05071	9.969818	10.81383	10.75269	10.93991	10.72371
Probe_148	11.15995	11.28812	11.4112	11.3408	11.1615	11.26363	11.2288	11.33681	11.46	11.55966	11.57573	11.27493
Probe_149	11.97445	11.87799	11.81886	11.96481	12.34786	12.10828	12.24983	12.16927	11.8069	11.99301	11.83743	11.77841
Probe_150	12.80993	12.83774	13.06414	13.13357	13.11064	13.03798	13.16141	12.99645	12.99918	12.89571	12.90471	12.78263
Probe_151	12.7223	12.53579	12.70967	12.8483	12.8627	12.79019	12.81362	12.67195	12.96918	12.81267	12.82807	12.88665
Probe_152	11.39534	11.31169	11.42237	10.96816	11.06327	10.75234	11.24876	10.71706	11.09028	11.62191	11.48368	11.60321
Probe_153	10.70531	10.77044	10.78274	11.04704	10.98908	11.14752	10.96736	11.00249	10.85148	10.72941	10.79736	10.60764
Probe_154	10.44085	10.87253	10.95598	11.56004	11.14366	11.48238	11.01501	11.1755	11.65657	11.25177	11.6933	11.33154
Probe_155	11.05974	11.59761	11.59541	11.88192	11.84313	11.98539	11.81032	11.8494	11.95341	11.79561	11.97816	11.85516
Probe_156	11.97981	12.35733	12.01422	11.96595	12.28707	12.24904	12.41331	12.33198	11.73745	11.78648	11.7093	11.78882
Probe_157	12.76877	13.10722	13.18254	13.23673	13.08684	13.18283	13.14311	13.00078	13.13543	13.02256	13.27935	13.05623
Probe_158	13.02748	12.99621	12.96649	13.08229	13.01725	13.00422	13.04097	13.01578	12.90334	12.83617	12.98724	12.77998
Probe_159	9.615162	9.669698	10.06482	9.766777	10.38912	9.842742	10.37164	10.28385	9.606868	9.847881	8.989437	9.893503
Probe_160	12.57401	12.05822	12.24966	12.39245	12.53064	12.36968	12.4714	12.63385	12.32827	12.54606	12.28753	12.34299
Probe_161	12.48395	12.64727	12.82691	12.97291	12.85729	12.91563	12.83038	12.97939	12.7874	12.72731	12.73841	12.61252
Probe_162	10.82529	10.93142	11.12652	11.69236	11.57611	11.65545	11.58522	11.62404	11.63269	11.44528	11.79806	11.42562
Probe_163	12.85745	13.03935	13.09059	12.75341	12.53944	12.54712	12.6456	12.44198	12.62635	12.54685	12.76414	12.63835
Probe_164	13.27113	13.38226	13.53893	13.51869	13.35119	13.36765	13.41258	13.37253	13.44464	13.35218	13.49421	13.39464
Probe_165	11.55657	11.65512	11.7874	12.15291	11.83441	12.08174	11.92368	12.09649	12.30483	12.33715	12.27197	12.23768
Probe_166	11.68359	11.70332	11.66921	11.46104	11.68173	11.58328	11.86931	11.48432	10.98753	11.06205	10.85148	10.84116
Probe_167	10.45112	10.76679	10.83991	10.87984	10.81233	10.83317	10.87781	10.93784	10.88352	10.85072	10.8283	10.78542
Probe_168	12.68343	12.70188	12.92201	13.07239	12.86292	12.82352	12.84819	12.9673	12.97997	12.95679	12.95791	12.93965
Probe_169	9.242567	9.704497	9.57576	9.237148	8.424792	8.784494	8.398786	8.724967	9.399998	9.360053	8.808942	9.326717
Probe_170	6.81305	7.72692	7.779778	8.02937	5.878909	7.4415	6.824106	7.13695	8.118365	8.28149	6.903026	8.033236
Probe_171	7.676535	7.560241	7.834402	7.719656	7.75795	7.649996	7.571138	7.6814	7.589696	7.225506	7.623816	7.448083
Probe_172	9.81777	9.551133	9.61302	9.596413	9.777622	9.658551	9.82042	9.736498	9.618064	9.350546	9.602511	9.502687
Probe_173	5.336569	5.317076	6.000703	5.209251	6.588832	6.289978	6.065751	6.157373	5.844348	5.47958	5.695368	5.937375
Probe_174	9.630007	9.36821	9.294134	9.359811	9.193572	9.141262	9.276122	8.894175	9.454474	9.039212	9.299116	9.385918
Probe_175	7.584264	6.885855	7.221229	7.233073	7.437985	6.719717	7.349967	7.458595	7.107824	6.715578	7.008361	6.717498
Probe_176	6.51293	6.335074	6.517871	6.404399	6.676832	6.182468	6.193098	6.171933	6.915736	6.294294	7.169324	6.323442
Probe_177	5.319903	6.535748	5.989866	6.663515	5.51755	2.307376	5.476706	5.389887	6.277661	5.162685	5.275227	3.705126
Probe_178	7.389928	7.341648	6.947526	7.396425	7.626629	7.300847	7.445967	7.384058	7.476082	7.439099	7.41209	7.784785
Probe_179	8.095814	7.595019	7.777887	7.611239	7.479627	7.863691	7.747267	7.576099	7.37891	7.166284	7.607419	7.500181
Probe_180	7.903737	8.116271	8.063071	8.069928	7.937715	7.945924	8.193629	8.100568	7.867575	8.022551	7.990246	7.923797
Probe_181	8.284181	8.102312	8.247776	8.051329	7.875067	7.295677	7.90016	7.717772	8.133841	7.629451	8.471305	7.875755
Probe_182	12.87951	12.72956	12.85092	12.64796	12.06742	12.1826	12.27677	12.0474	12.59635	12.45607	12.55128	12.52108
Probe_183	11.7726	11.62277	11.58359	11.3357	11.06199	10.96063	11.25897	10.82201	11.30231	11.52992	11.60569	11.70017
Probe_184	8.189439	7.877431	8.247965	8.108572	7.781602	7.83375	8.010601	7.935248	7.978779	8.474765	7.798608	8.649141
Probe_185	7.992519	8.047315	7.918744	7.995875	7.65052	7.798038	7.347108	7.658219	8.279151	7.758936	8.516642	8.229876
Probe_186	7.577142	7.408049	7.614224	7.11783	7.624233	7.368393	7.645997	7.680711	7.136304	7.422056	6.707911	7.021802
Probe_187	9.604713	9.26535	9.431798	9.32887	9.236751	8.892303	9.504134	9.038176	9.470693	9.005857	9.818061	9.238868
Probe_188	6.952567	7.673062	7.822698	8.3855	6.696439	7.880441	7.083139	6.999741	8.510313	8.15666	7.877726	8.231125
Probe_189	9.281235	8.877919	8.832393	8.983655	9.071127	8.792253	9.040309	8.706772	9.149315	9.018754	9.431088	9.129631
Probe_190	11.7069	11.28884	11.59105	11.22876	11.10831	10.97875	11.14489	11.23046	11.30199	11.33852	11.17471	11.07881
Probe_191	7.404392	7.887696	7.376577	7.253223	6.238036	7.679121	7.089964	6.750473	7.126797	6.125052	5.139654	7.148904
Probe_192	7.573791	6.861385	7.595877	6.902411	7.067036	6.377086	7.790772	7.53075	5.590087	7.935389	6.623084	7.84164
Probe_193	8.02514	7.777492	7.70391	7.689746	7.436703	7.53655	8.051171	7.886178	7.582661	7.099506	7.83075	7.042228
Probe_194	9.117215	8.993906	8.847299	9.049157	8.673761	8.881249	8.877122	8.770753	8.899789	8.74873	8.78739	8.842617
Probe_195	8.577772	8.308212	8.466272	8.435012	8.214795	8.088253	8.424229	8.370417	8.390006	8.47877	8.614706	8.652024
Probe_196	8.051617	8.038518	8.007218	8.109815	7.958941	7.993963	8.112919	8.191543	8.283269	7.999504	7.480209	8.240481
Probe_197	10.13656	10.31496	10.06477	10.20909	9.681778	9.942484	9.839821	9.79084	10.44695	10.21709	10.50239	10.27135
Probe_198	8.40785	7.989241	8.956675	8.152873	8.38859	7.676232	8.736879	8.235981	7.304182	8.740057	7.381517	8.756199
Probe_199	10.64497	9.919081	10.08801	10.18903	9.893905	9.729541	10.11047	9.73894	9.78934	9.878026	10.43601	10.20338
Probe_200	9.694102	9.344343	9.433592	9.573359	9.279557	9.38137	9.426502	9.298711	9.415596	9.368875	9.661163	9.856734
Probe_201	8.716603	8.599656	8.872084	8.628883	8.356408	8.527278	8.414355	8.663466	8.423998	9.061031	8.25635	8.866704
Probe_202	10.13834	9.894578	9.963951	9.628247	9.645154	9.743927	9.862278	9.567857	9.914811	9.319437	10.16247	9.685725
Probe_203	8.656654	7.805047	8.577795	8.10206	8.41099	7.502132	8.627902	7.661172	7.511666	8.239408	7.534886	8.575411
Probe_204	7.137852	7.322965	7.24806	6.83899	6.868156	6.824768	7.480459	7.072663	6.642213	6.398593	6.44185	6.598304
Probe_205	11.09653	10.94849	10.99835	11.2353	11.23866	11.14691	11.16893	11.07238	11.21671	11.28932	11.33879	11.26978
Probe_206	9.159965	6.664298	9.413892	7.877321	9.760376	7.324946	9.873276	8.404554	6.210927	8.659108	5.951411	8.903177
Probe_207	6.683753	6.676352	7.195259	7.113034	6.407161	6.589955	6.954173	7.156225	6.650951	7.374048	5.827291	7.527907
Probe_208	8.574692	7.210545	8.742485	7.995858	8.877444	6.926901	9.341041	8.91782	6.039584	8.411104	5.593396	8.169604
Probe_209	8.988605	8.778176	8.768002	8.73672	9.471604	9.172212	9.415469	9.176226	9.401816	9.172985	9.441145	8.818678
Probe_210	7.968079	8.542916	8.700048	8.595638	8.964361	8.890067	9.045566	8.815796	8.324734	8.519605	7.768383	8.548533
